,Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,"Status
Iteration 1",Actual Result Iteration 2,"Status
 Iteration 2
(to be updated only if 
test case failed in Iteration 1)",Comments,Req: Reference
Q1,TC001,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 17","It shoud throw the error messge ""Invalid Age""",,,,,,
,TC002,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 18",It should proceed further,,,,,,
,TC003,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 19",It should proceed further,,,,,,
,TC004,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 99",It should proceed further,,,,,,
,TC005,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 100",It should proceed further,,,,,,
,TC006,Person age,The Registration page should be available,Verify the person age,"1. Open The Browser
2. Navigate to the URL 
3. Click on Register button
4. Enter the age
5. Click on Submit button","Browser: Chrome
url: www.abc.com
age: 101","It shoud throw the error messge ""Invalid Age""",,,,,,
Q2,TC001,Candidate Score,The candidate portal must be available,Verify the candidate mark,"1. Open The Browser
2. Navigate to the URL 
3. Click on Candidate
4. Enter the marks","Browser: Chrome
url: www.exam.com
mark: 40","It should show the result ""The candidate failed""",,,,,,
,TC002,Candidate Score,The candidate portal must be available,Verify the candidate mark,"1. Open The Browser
2. Navigate to the URL 
3. Click on Candidate
4. Enter the marks","Browser: Chrome
url: www.exam.com
mark: 70","It should show the result ""The candidate passed""",,,,,,
,TC003,Candidate Score,The candidate portal must be available,Verify the candidate mark,"1. Open The Browser
2. Navigate to the URL 
3. Click on Candidate
4. Enter the marks","Browser: Chrome
url: www.exam.com
mark: 120","It should show throw message ""The maximum mark is 100""",,,,,,
Q3,TC001,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 17","It should throw the message ""The minimum age is 18""",,,,,,
,TC002,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 18",It show the salary as 15000,,,,,,
,TC003,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 19",It show the salary as 15000,,,,,,
,TC004,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 24",It show the salary as 15000,,,,,,
,TC005,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 25",It show the salary as 15000 ,,,,,,
,TC006,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 26","It should throw the message ""No criteria for the age""",,,,,,
,TC007,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 39","It should throw the message ""No criteria for the age""",,,,,,
,TC008,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 40",It show the salary as 15000 +10%,,,,,,
,TC009,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 41",It show the salary as 15000 +10%,,,,,,
,TC010,Driver hire,The salary calculation site should be available,Calculating the salary,"1. Open The Browser
2. Navigate to the URL 
3. Click on salary calculator
4. Enter the age
5. Click on submit","Browser: Chrome
url: www.driverhire.com
age: 64",It show the salary as 15000 +10%,,,,,,
